scenario,period,demand
1,1,6
1,2,13
1,3,20
1,4,16
1,5,0
1,6,24
1,7,16
1,8,10
1,9,30
1,10,16
1,11,18
1,12,20
1,13,41
1,14,18
2,1,26
2,2,0
2,3,22
2,4,25
2,5,20
2,6,12
2,7,26
2,8,29
2,9,26
2,10,16
2,11,0
2,12,18
2,13,8
2,14,10
3,1,30
3,2,27
3,3,18
3,4,16
3,5,0
3,6,7
3,7,8
3,8,20
3,9,0
3,10,21
3,11,18
3,12,22
3,13,0
3,14,16
4,1,14
4,2,26
4,3,20
4,4,22
4,5,14
4,6,0
4,7,23
4,8,28
4,9,12
4,10,0
4,11,20
4,12,24
4,13,0
4,14,22
5,1,12
5,2,12
5,3,20
5,4,0
5,5,16
5,6,26
5,7,10
5,8,26
5,9,22
5,10,18
5,11,16
5,12,18
5,13,2
5,14,6
6,1,18
6,2,16
6,3,30
6,4,16
6,5,32
6,6,10
6,7,11
6,8,18
6,9,22
6,10,26
6,11,16
6,12,46
6,13,10
6,14,18
7,1,5
7,2,18
7,3,30
7,4,0
7,5,12
7,6,13
7,7,22
7,8,7
7,9,12
7,10,37
7,11,0
7,12,32
7,13,23
7,14,2
8,1,1
8,2,26
8,3,14
8,4,0
8,5,22
8,6,20
8,7,0
8,8,0
8,9,10
8,10,29
8,11,0
8,12,20
8,13,0
8,14,22
9,1,15
9,2,0
9,3,28
9,4,0
9,5,14
9,6,8
9,7,17
9,8,16
9,9,18
9,10,0
9,11,30
9,12,30
9,13,6
9,14,27
10,1,16
10,2,15
10,3,0
10,4,26
10,5,0
10,6,29
10,7,5
10,8,18
10,9,8
10,10,0
10,11,28
10,12,0
10,13,6
10,14,28
11,1,14
11,2,17
11,3,18
11,4,8
11,5,0
11,6,18
11,7,0
11,8,17
11,9,2
11,10,19
11,11,0
11,12,16
11,13,0
11,14,18
12,1,16
12,2,0
12,3,19
12,4,18
12,5,0
12,6,0
12,7,22
12,8,0
12,9,16
12,10,22
12,11,2
12,12,18
12,13,12
12,14,24
13,1,10
13,2,28
13,3,10
13,4,0
13,5,20
13,6,17
13,7,0
13,8,19
13,9,0
13,10,17
13,11,0
13,12,18
13,13,1
13,14,8
14,1,18
14,2,0
14,3,14
14,4,22
14,5,36
14,6,7
14,7,8
14,8,18
14,9,13
14,10,0
14,11,18
14,12,0
14,13,20
14,14,33
15,1,24
15,2,19
15,3,0
15,4,19
15,5,0
15,6,16
15,7,0
15,8,23
15,9,10
15,10,4
15,11,12
15,12,18
15,13,0
15,14,18
16,1,23
16,2,18
16,3,10
16,4,0
16,5,30
16,6,14
16,7,16
16,8,14
16,9,6
16,10,17
16,11,0
16,12,0
16,13,0
16,14,26
17,1,0
17,2,15
17,3,14
17,4,17
17,5,0
17,6,11
17,7,0
17,8,17
17,9,0
17,10,16
17,11,0
17,12,0
17,13,8
17,14,23
18,1,0
18,2,11
18,3,0
18,4,24
18,5,0
18,6,16
18,7,9
18,8,10
18,9,22
18,10,0
18,11,16
18,12,20
18,13,12
18,14,28
19,1,2
19,2,26
19,3,0
19,4,18
19,5,14
19,6,0
19,7,18
19,8,5
19,9,14
19,10,12
19,11,0
19,12,22
19,13,24
19,14,20
20,1,1
20,2,18
20,3,20
20,4,0
20,5,20
20,6,18
20,7,0
20,8,30
20,9,7
20,10,28
20,11,15
20,12,0
20,13,0
20,14,0
21,1,18
21,2,0
21,3,11
21,4,2
21,5,24
21,6,0
21,7,20
21,8,13
21,9,0
21,10,22
21,11,0
21,12,23
21,13,8
21,14,24
22,1,24
22,2,22
22,3,16
22,4,19
22,5,18
22,6,15
22,7,0
22,8,28
22,9,0
22,10,12
22,11,27
22,12,2
22,13,25
22,14,0
23,1,18
23,2,7
23,3,0
23,4,18
23,5,0
23,6,18
23,7,12
23,8,0
23,9,11
23,10,0
23,11,21
23,12,0
23,13,10
23,14,0
24,1,20
24,2,10
24,3,24
24,4,24
24,5,29
24,6,20
24,7,23
24,8,2
24,9,26
24,10,12
24,11,20
24,12,12
24,13,0
24,14,20
25,1,24
25,2,15
25,3,14
25,4,24
25,5,0
25,6,38
25,7,5
25,8,20
25,9,22
25,10,0
25,11,16
25,12,10
25,13,0
25,14,14
26,1,0
26,2,6
26,3,13
26,4,0
26,5,16
26,6,0
26,7,32
26,8,16
26,9,14
26,10,36
26,11,16
26,12,26
26,13,16
26,14,17
27,1,2
27,2,18
27,3,0
27,4,16
27,5,31
27,6,16
27,7,5
27,8,2
27,9,18
27,10,0
27,11,25
27,12,30
27,13,16
27,14,16
28,1,11
28,2,27
28,3,18
28,4,17
28,5,0
28,6,16
28,7,0
28,8,30
28,9,16
28,10,14
28,11,0
28,12,9
28,13,17
28,14,0
29,1,24
29,2,0
29,3,2
29,4,12
29,5,15
29,6,17
29,7,18
29,8,0
29,9,14
29,10,0
29,11,16
29,12,18
29,13,0
29,14,13
30,1,26
30,2,0
30,3,16
30,4,20
30,5,8
30,6,8
30,7,16
30,8,0
30,9,22
30,10,20
30,11,25
30,12,23
30,13,30
30,14,0
31,1,22
31,2,24
31,3,0
31,4,16
31,5,19
31,6,18
31,7,24
31,8,0
31,9,28
31,10,16
31,11,16
31,12,5
31,13,18
31,14,13
32,1,0
32,2,17
32,3,0
32,4,16
32,5,0
32,6,30
32,7,5
32,8,18
32,9,14
32,10,0
32,11,26
32,12,20
32,13,0
32,14,12
33,1,5
33,2,6
33,3,26
33,4,0
33,5,20
33,6,19
33,7,0
33,8,16
33,9,0
33,10,14
33,11,6
33,12,17
33,13,14
33,14,32
34,1,0
34,2,12
34,3,0
34,4,16
34,5,21
34,6,12
34,7,18
34,8,0
34,9,14
34,10,32
34,11,2
34,12,12
34,13,18
34,14,13
35,1,18
35,2,10
35,3,0
35,4,28
35,5,1
35,6,0
35,7,11
35,8,0
35,9,13
35,10,0
35,11,12
35,12,0
35,13,18
35,14,1
36,1,18
36,2,12
36,3,0
36,4,14
36,5,12
36,6,0
36,7,24
36,8,8
36,9,14
36,10,22
36,11,20
36,12,10
36,13,28
36,14,6
37,1,26
37,2,20
37,3,17
37,4,16
37,5,0
37,6,23
37,7,8
37,8,0
37,9,18
37,10,0
37,11,18
37,12,26
37,13,0
37,14,16
38,1,15
38,2,0
38,3,16
38,4,0
38,5,16
38,6,25
38,7,5
38,8,2
38,9,24
38,10,0
38,11,35
38,12,22
38,13,0
38,14,16
39,1,8
39,2,10
39,3,18
39,4,20
39,5,22
39,6,18
39,7,22
39,8,10
39,9,30
39,10,12
39,11,24
39,12,21
39,13,38
39,14,17
40,1,0
40,2,14
40,3,0
40,4,24
40,5,12
40,6,16
40,7,2
40,8,13
40,9,12
40,10,32
40,11,0
40,12,16
40,13,2
40,14,18
41,1,0
41,2,14
41,3,22
41,4,26
41,5,24
41,6,5
41,7,8
41,8,15
41,9,0
41,10,5
41,11,0
41,12,13
41,13,0
41,14,24
42,1,0
42,2,28
42,3,2
42,4,16
42,5,7
42,6,16
42,7,20
42,8,0
42,9,12
42,10,6
42,11,19
42,12,24
42,13,14
42,14,0
43,1,14
43,2,0
43,3,8
43,4,16
43,5,0
43,6,22
43,7,14
43,8,0
43,9,10
43,10,0
43,11,23
43,12,2
43,13,22
43,14,0
44,1,15
44,2,19
44,3,38
44,4,0
44,5,29
44,6,14
44,7,26
44,8,20
44,9,26
44,10,32
44,11,22
44,12,8
44,13,24
44,14,12
45,1,22
45,2,16
45,3,17
45,4,8
45,5,18
45,6,0
45,7,14
45,8,9
45,9,0
45,10,18
45,11,0
45,12,21
45,13,8
45,14,30
46,1,0
46,2,22
46,3,26
46,4,20
46,5,28
46,6,12
46,7,7
46,8,30
46,9,13
46,10,20
46,11,14
46,12,0
46,13,21
46,14,2
47,1,19
47,2,0
47,3,11
47,4,0
47,5,26
47,6,0
47,7,28
47,8,20
47,9,26
47,10,5
47,11,18
47,12,22
47,13,0
47,14,14
48,1,1
48,2,2
48,3,15
48,4,0
48,5,10
48,6,0
48,7,24
48,8,0
48,9,15
48,10,16
48,11,15
48,12,0
48,13,9
48,14,0
49,1,25
49,2,0
49,3,18
49,4,0
49,5,13
49,6,14
49,7,17
49,8,0
49,9,16
49,10,0
49,11,22
49,12,16
49,13,25
49,14,20
50,1,15
50,2,0
50,3,13
50,4,0
50,5,22
50,6,0
50,7,32
50,8,2
50,9,27
50,10,16
50,11,2
50,12,0
50,13,22
50,14,0
51,1,15
51,2,8
51,3,23
51,4,0
51,5,10
51,6,0
51,7,24
51,8,18
51,9,17
51,10,10
51,11,18
51,12,0
51,13,16
51,14,26
52,1,16
52,2,22
52,3,7
52,4,16
52,5,20
52,6,0
52,7,22
52,8,12
52,9,0
52,10,18
52,11,17
52,12,0
52,13,17
52,14,0
53,1,16
53,2,0
53,3,16
53,4,44
53,5,17
53,6,0
53,7,12
53,8,0
53,9,29
53,10,30
53,11,18
53,12,18
53,13,6
53,14,26
54,1,12
54,2,28
54,3,16
54,4,34
54,5,28
54,6,12
54,7,18
54,8,20
54,9,0
54,10,36
54,11,20
54,12,0
54,13,16
54,14,18
55,1,26
55,2,34
55,3,6
55,4,2
55,5,20
55,6,26
55,7,22
55,8,24
55,9,8
55,10,8
55,11,9
55,12,26
55,13,36
55,14,0
56,1,22
56,2,24
56,3,9
56,4,8
56,5,18
56,6,13
56,7,24
56,8,20
56,9,0
56,10,25
56,11,6
56,12,30
56,13,0
56,14,16
57,1,2
57,2,14
57,3,0
57,4,20
57,5,20
57,6,0
57,7,22
57,8,12
57,9,0
57,10,26
57,11,0
57,12,24
57,13,11
57,14,0
