scenario,period,demand
1,1,14
1,2,17
1,3,34
1,4,44
1,5,23
1,6,6
1,7,12
1,8,20
1,9,16
1,10,14
1,11,19
1,12,25
1,13,10
1,14,10
2,1,27
2,2,20
2,3,22
2,4,12
2,5,22
2,6,18
2,7,14
2,8,23
2,9,26
2,10,20
2,11,30
2,12,34
2,13,8
2,14,10
3,1,22
3,2,20
3,3,18
3,4,38
3,5,24
3,6,10
3,7,14
3,8,23
3,9,28
3,10,18
3,11,20
3,12,18
3,13,3
3,14,12
4,1,26
4,2,42
4,3,28
4,4,31
4,5,23
4,6,8
4,7,10
4,8,22
4,9,14
4,10,28
4,11,30
4,12,25
4,13,4
4,14,10
5,1,26
5,2,47
5,3,23
5,4,30
5,5,12
5,6,11
5,7,16
5,8,14
5,9,48
5,10,32
5,11,35
5,12,19
5,13,11
5,14,16
6,1,10
6,2,20
6,3,22
6,4,20
6,5,30
6,6,4
6,7,18
6,8,20
6,9,22
6,10,18
6,11,18
6,12,22
6,13,9
6,14,8
7,1,28
7,2,22
7,3,24
7,4,30
7,5,14
7,6,10
7,7,16
7,8,14
7,9,27
7,10,29
7,11,16
7,12,28
7,13,6
7,14,8
8,1,14
8,2,27
8,3,21
8,4,14
8,5,14
8,6,14
8,7,12
8,8,29
8,9,25
8,10,20
8,11,24
8,12,29
8,13,4
8,14,8
9,1,18
9,2,20
9,3,32
9,4,23
9,5,24
9,6,6
9,7,8
9,8,35
9,9,6
9,10,30
9,11,16
9,12,18
9,13,6
9,14,6
10,1,24
10,2,16
10,3,28
10,4,4
10,5,24
10,6,4
10,7,12
10,8,27
10,9,16
10,10,18
10,11,20
10,12,14
10,13,10
10,14,12
11,1,14
11,2,26
11,3,26
11,4,28
11,5,16
11,6,4
11,7,8
11,8,21
11,9,22
11,10,18
11,11,18
11,12,24
11,13,10
11,14,8
12,1,26
12,2,20
12,3,24
12,4,14
12,5,20
12,6,6
12,7,6
12,8,23
12,9,39
12,10,28
12,11,18
12,12,29
12,13,10
12,14,8
13,1,30
13,2,22
13,3,46
13,4,20
13,5,10
13,6,8
13,7,6
13,8,10
13,9,22
13,10,26
13,11,22
13,12,20
13,13,12
13,14,8
14,1,14
14,2,14
14,3,30
14,4,26
14,5,24
14,6,10
14,7,8
14,8,8
14,9,14
14,10,24
14,11,14
14,12,18
14,13,24
14,14,12
15,1,23
15,2,27
15,3,18
15,4,26
15,5,14
15,6,10
15,7,12
15,8,24
15,9,16
15,10,20
15,11,12
15,12,28
15,13,10
15,14,6
16,1,35
16,2,20
16,3,16
16,4,32
16,5,20
16,6,8
16,7,12
16,8,18
16,9,25
16,10,30
16,11,28
16,12,30
16,13,10
16,14,14
17,1,31
17,2,37
17,3,22
17,4,35
17,5,26
17,6,13
17,7,18
17,8,22
17,9,16
17,10,21
17,11,20
17,12,22
17,13,10
17,14,8
18,1,20
18,2,28
18,3,31
18,4,14
18,5,26
18,6,12
18,7,10
18,8,28
18,9,16
18,10,27
18,11,31
18,12,20
18,13,6
18,14,8
19,1,14
19,2,20
19,3,22
19,4,20
19,5,16
19,6,8
19,7,12
19,8,10
19,9,24
19,10,28
19,11,22
19,12,31
19,13,6
19,14,12
20,1,20
20,2,29
20,3,39
20,4,25
20,5,34
20,6,2
20,7,29
20,8,31
20,9,25
20,10,30
20,11,32
20,12,24
20,13,8
20,14,11
21,1,16
21,2,16
21,3,23
21,4,41
21,5,21
21,6,12
21,7,14
21,8,25
21,9,20
21,10,28
21,11,22
21,12,22
21,13,4
21,14,16
22,1,16
22,2,22
22,3,14
22,4,30
22,5,24
22,6,5
22,7,17
22,8,14
22,9,34
22,10,20
22,11,22
22,12,16
22,13,6
22,14,10
23,1,16
23,2,18
23,3,36
23,4,26
23,5,22
23,6,12
23,7,24
23,8,21
23,9,23
23,10,37
23,11,26
23,12,39
23,13,6
23,14,8
24,1,26
24,2,24
24,3,18
24,4,22
24,5,23
24,6,6
24,7,20
24,8,37
24,9,30
24,10,28
24,11,34
24,12,32
24,13,8
24,14,8
25,1,18
25,2,33
25,3,22
25,4,16
25,5,31
25,6,5
25,7,8
25,8,30
25,9,17
25,10,33
25,11,16
25,12,29
25,13,18
25,14,14
26,1,18
26,2,23
26,3,24
26,4,34
26,5,30
26,6,14
26,7,30
26,8,18
26,9,12
26,10,16
26,11,24
26,12,34
26,13,6
26,14,10
27,1,21
27,2,12
27,3,28
27,4,24
27,5,23
27,6,8
27,7,16
27,8,16
27,9,20
27,10,22
27,11,20
27,12,31
27,13,6
27,14,12
28,1,28
28,2,18
28,3,28
28,4,20
28,5,16
28,6,6
28,7,10
28,8,22
28,9,20
28,10,12
28,11,12
28,12,30
28,13,14
28,14,6
29,1,10
29,2,26
29,3,18
29,4,44
29,5,27
29,6,12
29,7,6
29,8,18
29,9,28
29,10,16
29,11,24
29,12,40
29,13,4
29,14,12
30,1,18
30,2,27
30,3,24
30,4,6
30,5,20
30,6,6
30,7,14
30,8,22
30,9,18
30,10,22
30,11,16
30,12,12
30,13,8
30,14,14
31,1,20
31,2,26
31,3,10
31,4,16
31,5,18
31,6,6
31,7,8
31,8,26
31,9,22
31,10,14
31,11,22
31,12,32
31,13,6
31,14,12
32,1,20
32,2,35
32,3,28
32,4,20
32,5,18
32,6,6
32,7,12
32,8,18
32,9,12
32,10,18
32,11,18
32,12,22
32,13,2
32,14,8
33,1,30
33,2,38
33,3,20
33,4,22
33,5,26
33,6,10
33,7,8
33,8,20
33,9,22
33,10,26
33,11,18
33,12,27
33,13,12
33,14,16
34,1,24
34,2,38
34,3,22
34,4,27
34,5,6
34,6,8
34,7,23
34,8,23
34,9,26
34,10,24
34,11,14
34,12,21
34,13,10
34,14,18
35,1,38
35,2,31
35,3,20
35,4,20
35,5,35
35,6,10
35,7,12
35,8,16
35,9,12
35,10,37
35,11,22
35,12,6
35,13,20
35,14,33
36,1,30
36,2,16
