scenario,period,demand
1,1,4
1,2,4
1,3,0
1,4,4
1,5,0
1,6,4
1,7,4
1,8,2
1,9,6
1,10,2
1,11,0
1,12,6
1,13,2
1,14,4
2,1,2
2,2,6
2,3,6
2,4,2
2,5,4
2,6,4
2,7,2
2,8,6
2,9,2
2,10,4
2,11,2
2,12,2
2,13,2
2,14,2
3,1,2
3,2,2
3,3,6
3,4,2
3,5,2
3,6,4
3,7,2
3,8,2
3,9,2
3,10,2
3,11,2
3,12,2
3,13,2
3,14,2
4,1,0
4,2,2
4,3,2
4,4,4
4,5,2
4,6,4
4,7,2
4,8,2
4,9,2
4,10,2
4,11,2
4,12,4
4,13,4
4,14,4
5,1,2
5,2,4
5,3,2
5,4,2
5,5,2
5,6,2
5,7,2
5,8,2
5,9,6
5,10,2
5,11,4
5,12,2
5,13,4
5,14,6
6,1,4
6,2,6
6,3,2
6,4,2
6,5,2
6,6,4
6,7,2
6,8,2
6,9,2
6,10,2
6,11,2
6,12,2
6,13,2
6,14,2
7,1,2
7,2,2
7,3,2
7,4,2
7,5,4
7,6,2
7,7,4
7,8,6
7,9,2
7,10,2
7,11,6
7,12,6
7,13,2
7,14,2
8,1,2
8,2,4
8,3,4
8,4,4
8,5,2
8,6,2
8,7,4
8,8,4
8,9,2
8,10,4
8,11,4
8,12,2
8,13,6
8,14,2
9,1,2
9,2,4
9,3,8
9,4,4
9,5,2
9,6,4
9,7,4
9,8,0
9,9,2
9,10,2
9,11,0
9,12,2
9,13,2
9,14,2
10,1,4
10,2,2
10,3,2
10,4,4
10,5,2
10,6,4
10,7,4
10,8,4
10,9,4
10,10,4
10,11,2
10,12,0
10,13,2
10,14,2
11,1,2
11,2,2
11,3,2
11,4,8
11,5,2
11,6,4
11,7,8
11,8,6
11,9,2
11,10,2
11,11,2
11,12,4
11,13,4
11,14,2
12,1,4
12,2,2
12,3,2
12,4,4
12,5,4
12,6,4
12,7,4
12,8,2
12,9,2
12,10,2
12,11,2
12,12,6
12,13,2
12,14,4
13,1,4
13,2,2
13,3,4
13,4,2
13,5,2
13,6,2
13,7,4
13,8,2
13,9,2
13,10,2
13,11,4
13,12,6
13,13,2
13,14,2
14,1,2
14,2,2
14,3,2
14,4,2
14,5,2
14,6,4
14,7,2
14,8,2
14,9,2
14,10,2
14,11,2
14,12,4
14,13,0
14,14,2
15,1,4
15,2,4
15,3,2
15,4,4
15,5,4
15,6,6
15,7,2
15,8,2
15,9,2
15,10,6
15,11,6
15,12,4
15,13,2
15,14,2
16,1,2
16,2,2
16,3,2
16,4,2
16,5,2
16,6,2
16,7,4
16,8,2
16,9,2
16,10,4
16,11,2
16,12,2
16,13,2
16,14,2
17,1,2
17,2,2
17,3,4
17,4,2
17,5,2
17,6,2
17,7,2
17,8,4
17,9,2
17,10,2
17,11,4
17,12,4
17,13,4
17,14,2
18,1,2
18,2,4
18,3,2
18,4,4
18,5,2
18,6,2
18,7,2
18,8,4
18,9,12
18,10,2
18,11,4
18,12,2
18,13,4
18,14,4
19,1,2
19,2,4
19,3,4
19,4,2
19,5,2
19,6,2
19,7,4
19,8,2
19,9,4
19,10,4
19,11,2
19,12,2
19,13,2
19,14,2
20,1,2
20,2,2
20,3,2
20,4,2
20,5,2
20,6,2
20,7,2
20,8,2
20,9,2
20,10,0
20,11,2
20,12,2
20,13,4
20,14,2
21,1,2
21,2,2
21,3,2
21,4,4
21,5,4
21,6,2
21,7,4
21,8,2
21,9,2
21,10,2
21,11,4
21,12,2
21,13,6
21,14,2
22,1,2
22,2,2
22,3,2
22,4,2
22,5,2
22,6,2
22,7,2
22,8,2
22,9,2
22,10,2
22,11,2
22,12,4
22,13,2
22,14,4
23,1,2
23,2,2
23,3,6
23,4,4
23,5,2
23,6,2
23,7,2
23,8,4
23,9,4
23,10,2
23,11,2
23,12,2
23,13,4
23,14,2
24,1,2
24,2,8
24,3,4
24,4,4
24,5,2
24,6,2
24,7,4
24,8,2
24,9,2
24,10,2
24,11,2
24,12,2
24,13,2
24,14,4
25,1,2
25,2,2
25,3,4
25,4,2
25,5,4
25,6,4
25,7,2
25,8,4
25,9,2
25,10,4
25,11,2
25,12,2
25,13,4
25,14,4
26,1,2
26,2,2
26,3,6
26,4,2
26,5,2
26,6,4
26,7,2
26,8,2
26,9,6
26,10,2
26,11,0
26,12,2
26,13,2
26,14,2
